review
맘모스 빵을 좋아하는데 마침 방문한 몽소에 맘모스빵이 보여서 구매하게 되었습니다. 빵 맛이야 항상 맛있게 먹던 곳이라서 역시나 몽소다 생각했습니다. 한가지 큰 빵이기에 한입에 먹기 좋게 잘라서 판매르르해보시는 것이 어떨지 생각 되었습니다. 잘 먹었습니다.
더보기
"직접 만드시는 빵이라 믿음가는 빵집입니다, 에그타르트 맛있어요. 다음엔 딸기 케익 맛보려고요~"
진짜너무너무 맛있어요 🥹 바질토마토랑 에그타르트 먹고 반하고 오이바게트먹고 또 반하기
친절하고 종류가 많아요 ㅎ
빵은 그냥 뭐 아는 맛인데 여자 직원분 마감해야하는데 사람 들어와서 짜증나신건지.. 좀 틱틱? 불친절하다 느겨졌어요
맛있어요 여러종류 샀는데 다 맛있네요
빵도 다양하고 커피도 맛나요~ ^^
"바질토마토 사러갔는데
솔드아웃 ㅜㅜ
올리브치즈도 맛있네요~~"
"샌드위치는 별로였지만..!
크랜베리 쌀식빵 짱 맛있어요..
시그니처인 이유가..👍🏻👍🏻👍🏻
다른 빵들도 맛있긴한데 고소한 맛파인 저는
좀 달아서 안단걸로 골랐는데
크랜베리가 있어서 살짝 달콤하고
치즈가 짱...크게들어있어요 ....ㅋㅋㅋㅋ
또 가도 저는 이거 먹으려구요...!!!!"
더보기
빵 종류도 많고 맛있어요~ ^^
담백한 빵들 재료 좋고 맛있어요
커피 한 잔 간단히 잘 마셨어요~
"명장의 빵집이라고 기대만땅~♡÷
역시는 역시였어요. 빵이 죄다 맛났고 쫄깃했어여.
이집은 한번갈 집은 아녜여. 여기살면 단골각!!"
.
맘모스빵이 요즘 특히 더 맛있는거 같아요
.
맛있어요~
"지금까지 남영역 앞에 있는 몽소랑 같은 곳인 줄 알았어요..!
숙대 몽소는 시식이 가능해서 먹어봤는데
명란바게트가 매콤해서 제가 먹어본 명란바게트 중
중독성 강한 맛이었습니다!!
구황작물 덕후가 쑥이랑 단호박 보면 무조건 사는데
단호박에 꿀같은게 많아 보여서 단 걸 별로 안 좋아하고
고소한 맛을 좋아하는 편이라 이름이라고 고소한 누룽지빵인...이 빵을 지나칠 수 없었어요 ㅋㅋㅋ
달긴 달아요..! 조금만 덜 달 면이 더 좋을 것 같지만
찐으로 빵 위에 누룽지가 올라가있어서 바삭바삭하고 맛있었어요!!다른빵들도 맛있어요~~"
더보기
.
맘모스빵 맛있어요^^
생크림롤 맛나네요 커피도
빵 맛있어서 샀어요. 비닐에 포장해주셧는데 바로 먹지 않았더니 포장해주신 비닐향이 배어서 아쉬웠습니다! 그래도 빵 자체는 맛잇어요!
합리적 가격의 다양한 빵 종류가 풍성.
.
.
천연효모빵으로 벌써 먹어보면 맛이 다르다 시나몬롤 크르와상 호두타르트 맛나고 소화도 잘됨 숙대점으로 갔고 여러지점이 있다
"국내에 현재 유명한 왠만한 빵들이 다~ 준비된것 같아요. 엄청난 장인의 맛은 아니어도 그런 빵들 맛을 가까이에서 보고 싶을 때 좋습니다.
특히 재료를 아낌없이 많이 넣어서 밤이나 치즈, 무화과 등 본연의 맛을 알차게 느낄 수 있어요!
든든한 빵들이 많습니다."
더보기
너무 달아요
뉴진스럽지 않은 맛있는 편의 빵
에그타르트 맛있어요! 추천입니다!
시식빵도 있고 종류도 다양하고 5*의종 이사가서 무화과빵 못먹었었는데 맛집 발견쓰~~
"빵이 맛있고 무엇보다 2층 테이블석
조용히 대화나누기 편해요
테이블 간격도 넓고 적극 추천합니다!"
맛있어요 빵
시식할 수 있고 맛있는 빵이 많은 것 같아요~!!
좋아요
맛있어요
굿입니다
몽소빵은 맛있어요!!! 이번 고구마빵도✨💛💛
주차가 힘들어도 빵순이들은 찿아 갑니다
좋아요
처음 방문했는데 시식도 다양하게 할 수 있어 좋았습니다!!
아주 맛있습니다 :)
메론빵이 맛있었어요. 다음에 갔을때도 있으면 좋겠네요.
맛있어요
"잠봉뵈르와 사진에는 없지만 소금빵 먹었습니다
소금빵 바닥이 빠작해서 좋아요
잠봉뵈르 안에 홀그레인머스타드랑 토마토 절임?
이 같이 있어서 끝없이 들어가는 맛이에요ㅋㅋ
오랜만에 맛있는 빵집 발견해서 기뻐요😊
다음에 앙버터 먹어보러 가겠습니다!"
더보기
맛있어요
가격대 있지만 건강한 맛 맛있어요
"요기 빵은 뭐 말해모해요
다 맛있어요
오늘은 특히 너무 고민되어 직원분께 ㅋㅋ 질문을 했는데, 친절하게 빵에대해 설명해주셨어요,,
오후 3시쯤 근무했던 직원분....!!
동글동글 학생분 같으셨는데
엄청친절하시더라구요~~감사해요! 덕분에 고른빵 너무 맛있었어요!!!"
더보기
그냥저냥 갠춘
"앙버터 버터 두껍고 팥도 실해서 맛있네요
소금빵도 바닥 바삭바삭해서 좋아요👍"
엥... 여러 빵집 가봤지만 빵에서 머리카락 나온건 처음입니다. 초코소라빵 끝부분에 뭐가 튀어나와있어서 뽑아보니 빵밑에 있는 초콜릿에 박힌 머리카락이 나왔습니다...^^; 위생 안좋단 후기를 좀 봤지만 예전에 문제없이 맛있게 먹었던 기억이 있어서 방문했는데 후기를 더 믿어볼걸 그랬네요.. 포장과정만 위생이 나쁜게 아니라 조리과정에서도 그런가봐요...😢 맛은 소금빵은 맛있었고 나머지는 평범해요 그래도 다시는 안갈것같네요
더보기
지나가면 늘 들어가게되는 빵집이에요. 마늘바게트랑 무화과 깜빠뉴가 정말 맛있어요!
굿
빵 괜찮아서 가끔 들러요. 항상 저녁에만 오다 오늘 갔을땐 나이 좀 있으신 아줌마가 계셔서 첨 봤는데 좀 무례한거 같아서 다음 리뷰 봤더니 역시나... ㅎㅎㅎ 주인장 아줌씨로 보이는 분... 제발 장갑 좀 끼고 빵 만져주세요... 그리고 틱틱거리지 좀 마시구요... 저와 고작 몇마디만 나눈건데도 손님으로서 기분이 좀 안좋더라구요.. 오래전부터 개선되진 않으신거 같은데 - 그리고 주인분들도 리뷰는 안보시는거 같든데 - 빵맛을 서비스다 다 깎아먹어서 안타깝네요.
더보기
몽소 카페에 빵들이 맛있습니다 😋
전일빵 20%하시네요!!!! 맛난 바질토마토를 9천원 안되게 2개 겟
음 저는 좀 아쉬워요. 전체적으로 빵이 말랑말랑한데 풍미는 약한 느낌. 명란 소금빵은 싱겁고 기름지고 ㅜ 커피말고 다른 거 드시는 걸 추천해오 ㅎㅎ
